datetime,symbol,open,high,low,close,volume
2023-08-31 12:30:00,NSE:HINDALCO,461.4,461.7,460.85,461.2,72541.0
2023-08-31 12:35:00,NSE:HINDALCO,461.2,461.25,460.35,460.65,31226.0
2023-08-31 12:40:00,NSE:HINDALCO,460.75,460.95,460.55,460.7,20094.0
2023-08-31 12:45:00,NSE:HINDALCO,460.55,461.35,460.3,460.65,68745.0
2023-08-31 12:50:00,NSE:HINDALCO,460.65,460.75,460.4,460.6,23304.0
2023-08-31 12:55:00,NSE:HINDALCO,460.5,461.3,460.4,461.2,31671.0
2023-08-31 13:00:00,NSE:HINDALCO,461.2,461.65,460.9,460.9,30898.0
2023-08-31 13:05:00,NSE:HINDALCO,460.9,461.05,460.5,460.9,97456.0
2023-08-31 13:10:00,NSE:HINDALCO,460.8,461.0,460.15,460.25,57046.0
2023-08-31 13:15:00,NSE:HINDALCO,460.25,460.7,459.95,460.25,37053.0
2023-08-31 13:20:00,NSE:HINDALCO,460.25,460.25,459.8,459.9,62211.0
2023-08-31 13:25:00,NSE:HINDALCO,459.85,459.9,459.35,459.65,57090.0
2023-08-31 13:30:00,NSE:HINDALCO,459.6,459.7,459.2,459.65,59815.0
2023-08-31 13:35:00,NSE:HINDALCO,459.5,460.0,459.2,459.2,72544.0
2023-08-31 13:40:00,NSE:HINDALCO,459.15,460.0,458.95,459.65,167928.0
2023-08-31 13:45:00,NSE:HINDALCO,459.5,459.7,458.65,458.95,93584.0
2023-08-31 13:50:00,NSE:HINDALCO,458.75,459.05,458.4,458.85,57573.0
2023-08-31 13:55:00,NSE:HINDALCO,458.65,458.75,458.0,458.2,73300.0
2023-08-31 14:00:00,NSE:HINDALCO,458.2,459.4,457.85,459.4,126546.0
2023-08-31 14:05:00,NSE:HINDALCO,459.4,459.65,458.9,459.4,50229.0
2023-08-31 14:10:00,NSE:HINDALCO,459.6,459.8,459.2,459.45,56447.0
2023-08-31 14:15:00,NSE:HINDALCO,459.45,459.8,459.1,459.45,62355.0
2023-08-31 14:20:00,NSE:HINDALCO,459.45,459.5,458.25,458.25,51787.0
2023-08-31 14:25:00,NSE:HINDALCO,458.25,458.8,458.0,458.15,92334.0
2023-08-31 14:30:00,NSE:HINDALCO,458.15,458.6,457.05,457.65,81262.0
2023-08-31 14:35:00,NSE:HINDALCO,457.9,458.55,457.7,458.55,57554.0
2023-08-31 14:40:00,NSE:HINDALCO,458.3,458.6,458.05,458.6,56168.0
2023-08-31 14:45:00,NSE:HINDALCO,458.5,458.95,458.25,458.8,70875.0
2023-08-31 14:50:00,NSE:HINDALCO,458.8,459.0,458.5,458.85,62980.0
2023-08-31 14:55:00,NSE:HINDALCO,458.8,459.0,458.75,459.0,84826.0
2023-08-31 15:00:00,NSE:HINDALCO,458.85,459.9,458.25,458.3,567535.0
2023-08-31 15:05:00,NSE:HINDALCO,458.25,459.2,456.75,458.55,676272.0
2023-08-31 15:10:00,NSE:HINDALCO,458.5,462.0,458.5,461.1,692727.0
2023-08-31 15:15:00,NSE:HINDALCO,461.1,461.25,460.5,461.0,825757.0
2023-08-31 15:20:00,NSE:HINDALCO,461.1,461.1,459.3,460.55,742844.0
2023-08-31 15:25:00,NSE:HINDALCO,460.5,462.0,460.25,461.9,370425.0
2023-09-01 09:15:00,NSE:HINDALCO,462.1,469.0,462.1,467.9,589175.0
2023-09-01 09:20:00,NSE:HINDALCO,467.65,470.65,467.65,469.75,530896.0
2023-09-01 09:25:00,NSE:HINDALCO,469.8,471.95,468.75,471.25,486707.0
2023-09-01 09:30:00,NSE:HINDALCO,471.35,474.5,470.8,473.6,723225.0
2023-09-01 09:35:00,NSE:HINDALCO,473.5,475.5,473.5,474.45,585174.0
2023-09-01 09:40:00,NSE:HINDALCO,474.2,475.9,474.2,475.35,291984.0
2023-09-01 09:45:00,NSE:HINDALCO,475.4,477.4,475.2,476.25,448575.0
2023-09-01 09:50:00,NSE:HINDALCO,476.2,476.8,475.6,476.35,240806.0
2023-09-01 09:55:00,NSE:HINDALCO,476.5,478.0,476.5,477.7,372296.0
2023-09-01 10:00:00,NSE:HINDALCO,477.65,478.5,477.5,477.65,303384.0
2023-09-01 10:05:00,NSE:HINDALCO,477.7,477.7,474.25,475.0,438066.0
2023-09-01 10:10:00,NSE:HINDALCO,475.15,475.5,474.05,474.75,190362.0
2023-09-01 10:15:00,NSE:HINDALCO,474.6,475.0,473.6,474.35,169511.0
2023-09-01 10:20:00,NSE:HINDALCO,474.5,475.5,474.2,475.0,141717.0
2023-09-01 10:25:00,NSE:HINDALCO,475.05,475.1,474.5,474.95,53123.0
2023-09-01 10:30:00,NSE:HINDALCO,474.9,475.0,473.75,474.0,145826.0
2023-09-01 10:35:00,NSE:HINDALCO,474.0,475.0,473.5,473.85,111187.0
2023-09-01 10:40:00,NSE:HINDALCO,473.9,474.5,473.45,473.6,146751.0
2023-09-01 10:45:00,NSE:HINDALCO,473.6,474.9,473.5,474.9,66418.0
2023-09-01 10:50:00,NSE:HINDALCO,474.9,475.0,473.6,473.6,94972.0
2023-09-01 10:55:00,NSE:HINDALCO,473.55,473.95,472.7,473.45,126753.0
2023-09-01 11:00:00,NSE:HINDALCO,473.45,473.45,472.0,472.7,168078.0
2023-09-01 11:05:00,NSE:HINDALCO,472.7,472.95,472.0,472.4,98034.0
2023-09-01 11:10:00,NSE:HINDALCO,472.45,472.75,472.1,472.3,50440.0
2023-09-01 11:15:00,NSE:HINDALCO,472.4,473.2,472.2,472.3,89104.0
2023-09-01 11:20:00,NSE:HINDALCO,472.4,472.7,471.75,472.65,89481.0
2023-09-01 11:25:00,NSE:HINDALCO,472.65,473.5,472.65,473.25,49614.0
2023-09-01 11:30:00,NSE:HINDALCO,473.1,473.65,472.1,472.3,67867.0
2023-09-01 11:35:00,NSE:HINDALCO,472.2,472.9,472.2,472.9,32355.0
2023-09-01 11:40:00,NSE:HINDALCO,472.9,473.25,472.5,473.25,30032.0
2023-09-01 11:45:00,NSE:HINDALCO,473.25,473.5,472.6,472.65,39315.0
2023-09-01 11:50:00,NSE:HINDALCO,472.7,473.0,472.5,472.9,29197.0
2023-09-01 11:55:00,NSE:HINDALCO,472.9,472.95,472.05,472.1,68462.0
2023-09-01 12:00:00,NSE:HINDALCO,472.1,472.3,471.25,471.6,104013.0
2023-09-01 12:05:00,NSE:HINDALCO,471.6,471.85,471.1,471.55,66029.0
2023-09-01 12:10:00,NSE:HINDALCO,471.5,471.95,470.4,470.5,129453.0
2023-09-01 12:15:00,NSE:HINDALCO,470.55,471.0,470.4,470.7,81211.0
2023-09-01 12:20:00,NSE:HINDALCO,470.7,470.9,470.1,470.5,88400.0
2023-09-01 12:25:00,NSE:HINDALCO,470.5,470.5,470.1,470.45,44478.0
2023-09-01 12:30:00,NSE:HINDALCO,470.5,470.5,470.2,470.25,34683.0
2023-09-01 12:35:00,NSE:HINDALCO,470.25,470.5,469.7,470.0,86181.0
2023-09-01 12:40:00,NSE:HINDALCO,470.0,470.2,469.6,470.0,56573.0
2023-09-01 12:45:00,NSE:HINDALCO,469.95,470.7,469.95,470.4,90244.0
2023-09-01 12:50:00,NSE:HINDALCO,470.5,470.5,469.9,469.9,56763.0
2023-09-01 12:55:00,NSE:HINDALCO,470.05,470.05,469.6,469.9,34904.0
2023-09-01 13:00:00,NSE:HINDALCO,469.9,470.15,469.7,470.15,144793.0
2023-09-01 13:05:00,NSE:HINDALCO,470.15,472.5,470.1,472.3,144857.0
2023-09-01 13:10:00,NSE:HINDALCO,472.3,473.3,471.8,473.05,74213.0
2023-09-01 13:15:00,NSE:HINDALCO,473.05,473.6,472.8,473.35,74234.0
2023-09-01 13:20:00,NSE:HINDALCO,473.35,474.35,473.25,474.35,79448.0
2023-09-01 13:25:00,NSE:HINDALCO,474.35,474.5,473.65,473.9,65375.0
2023-09-01 13:30:00,NSE:HINDALCO,473.9,474.1,473.35,473.9,31863.0
2023-09-01 13:35:00,NSE:HINDALCO,473.9,474.0,473.45,473.8,38116.0
2023-09-01 13:40:00,NSE:HINDALCO,473.8,473.8,472.5,472.7,51264.0
2023-09-01 13:45:00,NSE:HINDALCO,472.7,473.35,472.6,473.15,24649.0
2023-09-01 13:50:00,NSE:HINDALCO,473.15,473.6,473.05,473.3,35789.0
2023-09-01 13:55:00,NSE:HINDALCO,473.35,473.8,473.15,473.45,25111.0
2023-09-01 14:00:00,NSE:HINDALCO,473.5,473.7,473.1,473.25,29889.0
2023-09-01 14:05:00,NSE:HINDALCO,473.2,473.55,472.85,473.0,46666.0
2023-09-01 14:10:00,NSE:HINDALCO,473.0,473.1,472.15,472.4,56188.0
2023-09-01 14:15:00,NSE:HINDALCO,472.4,473.35,472.25,473.0,69611.0
2023-09-01 14:20:00,NSE:HINDALCO,473.0,474.25,472.8,474.1,132212.0
2023-09-01 14:25:00,NSE:HINDALCO,474.05,474.05,473.1,473.55,68588.0
2023-09-01 14:30:00,NSE:HINDALCO,473.55,473.85,473.3,473.4,34726.0
2023-09-01 14:35:00,NSE:HINDALCO,473.45,474.4,473.1,474.4,58351.0
2023-09-01 14:40:00,NSE:HINDALCO,474.35,475.0,474.2,474.3,157296.0
2023-09-01 14:45:00,NSE:HINDALCO,474.35,474.5,473.35,473.35,64636.0
2023-09-01 14:50:00,NSE:HINDALCO,473.05,473.55,472.7,473.4,61612.0
2023-09-01 14:55:00,NSE:HINDALCO,473.35,473.8,472.9,473.5,63775.0
2023-09-01 15:00:00,NSE:HINDALCO,473.65,474.35,473.0,473.45,83776.0
2023-09-01 15:05:00,NSE:HINDALCO,473.45,474.25,473.45,474.1,95796.0
2023-09-01 15:10:00,NSE:HINDALCO,474.1,475.0,473.55,474.6,135145.0
2023-09-01 15:15:00,NSE:HINDALCO,474.6,474.6,473.1,473.3,231297.0
